fecha_hora,valor_sensor,voltaje
2024-10-16 22:41:06,169,0.14
2024-10-16 22:41:07,162,0.13
2024-10-16 22:41:08,167,0.13
2024-10-16 22:41:10,166,0.13
2024-10-16 22:41:11,169,0.14
2024-10-16 22:41:12,159,0.13
2024-10-16 22:41:13,165,0.13
2024-10-16 22:41:15,159,0.13
2024-10-16 22:41:16,165,0.13
2024-10-16 22:41:17,163,0.13
2024-10-16 22:41:18,164,0.13
2024-10-16 22:41:20,154,0.12
2024-10-16 22:41:21,166,0.13
2024-10-16 22:41:22,158,0.13
2024-10-16 22:41:23,163,0.13
2024-10-16 22:41:25,166,0.13
2024-10-16 22:41:26,155,0.12
2024-10-16 22:41:27,170,0.14
2024-10-16 22:41:28,167,0.13
2024-10-16 22:41:30,163,0.13
2024-10-16 22:41:31,159,0.13
2024-10-16 22:41:32,163,0.13
2024-10-16 22:41:33,163,0.13
2024-10-16 22:41:35,171,0.14
2024-10-16 22:41:36,157,0.13
2024-10-16 22:41:37,161,0.13
2024-10-16 22:41:38,167,0.13
2024-10-16 22:41:40,163,0.13
2024-10-16 22:41:41,158,0.13
2024-10-16 22:41:42,160,0.13
2024-10-16 22:41:43,158,0.13
2024-10-16 22:41:45,166,0.13
2024-10-16 22:41:46,160,0.13
2024-10-16 22:41:47,165,0.13
2024-10-16 22:41:48,170,0.14
2024-10-16 22:41:50,169,0.14
2024-10-16 22:41:51,171,0.14
2024-10-16 22:41:52,161,0.13
2024-10-16 22:41:53,169,0.14
2024-10-16 22:41:55,163,0.13
2024-10-16 22:41:56,164,0.13
2024-10-16 22:41:57,166,0.13
2024-10-16 22:41:58,160,0.13
2024-10-16 22:42:00,161,0.13
2024-10-16 22:42:01,151,0.12
2024-10-16 22:42:02,147,0.12
2024-10-16 22:42:03,165,0.13
2024-10-16 22:42:05,159,0.13
2024-10-16 22:42:06,165,0.13
2024-10-16 22:42:07,163,0.13
2024-10-16 22:42:08,164,0.13
2024-10-16 22:42:10,165,0.13
2024-10-16 22:42:11,171,0.14
2024-10-16 22:42:12,163,0.13
2024-10-16 22:42:13,148,0.12
2024-10-16 22:42:15,162,0.13
2024-10-16 22:42:16,169,0.14
2024-10-16 22:42:17,167,0.13
2024-10-16 22:42:18,163,0.13
2024-10-16 22:42:20,166,0.13
2024-10-16 22:42:21,173,0.14
2024-10-16 22:42:22,162,0.13
2024-10-16 22:42:23,156,0.13
2024-10-16 22:42:25,169,0.14
2024-10-16 22:42:26,173,0.14
2024-10-16 22:42:27,169,0.14
2024-10-16 22:42:28,161,0.13
2024-10-16 22:42:30,165,0.13
2024-10-16 22:42:31,165,0.13
2024-10-16 22:42:32,164,0.13
2024-10-16 22:42:33,174,0.14
2024-10-16 22:42:35,161,0.13
2024-10-16 22:42:36,170,0.14
2024-10-16 22:42:37,166,0.13
2024-10-16 22:42:38,169,0.14
2024-10-16 22:42:40,165,0.13
2024-10-16 22:42:41,167,0.13
2024-10-16 22:42:42,162,0.13
2024-10-16 22:42:43,165,0.13
2024-10-16 22:42:45,170,0.14
2024-10-16 22:42:46,164,0.13
2024-10-16 22:42:47,163,0.13
2024-10-16 22:42:48,163,0.13
2024-10-16 22:42:50,161,0.13
2024-10-16 22:42:51,170,0.14
2024-10-16 22:42:52,161,0.13
2024-10-16 22:42:53,166,0.13
2024-10-16 22:42:55,165,0.13
2024-10-16 22:42:56,161,0.13
2024-10-16 22:42:57,163,0.13
2024-10-16 22:42:58,165,0.13
2024-10-16 22:43:00,167,0.13
2024-10-16 22:43:01,167,0.13
2024-10-16 22:43:02,142,0.11
2024-10-16 22:43:03,167,0.13
2024-10-16 22:43:05,163,0.13
2024-10-16 22:43:06,166,0.13
2024-10-16 22:43:07,166,0.13
2024-10-16 22:43:08,167,0.13
2024-10-16 22:43:10,162,0.13
2024-10-16 22:43:11,167,0.13
2024-10-16 22:43:12,157,0.13
2024-10-16 22:43:14,170,0.14
2024-10-16 22:43:15,155,0.12
2024-10-16 22:43:16,165,0.13
2024-10-16 22:43:17,166,0.13
2024-10-16 22:43:18,162,0.13
