valor_analogico,voltaje,calidad_aire
117,0.09,Excelente
107,0.09,Excelente
112,0.09,Excelente
116,0.09,Excelente
113,0.09,Excelente
112,0.09,Excelente
112,0.09,Excelente
107,0.09,Excelente
110,0.09,Excelente
107,0.09,Excelente
107,0.09,Excelente
112,0.09,Excelente
107,0.09,Excelente
111,0.09,Excelente
96,0.08,Excelente
113,0.09,Excelente
108,0.09,Excelente
111,0.09,Excelente
107,0.09,Excelente
105,0.08,Excelente
100,0.08,Excelente
110,0.09,Excelente
112,0.09,Excelente
97,0.08,Excelente
112,0.09,Excelente
105,0.08,Excelente
114,0.09,Excelente
112,0.09,Excelente
118,0.1,Excelente
112,0.09,Excelente
110,0.09,Excelente
110,0.09,Excelente
115,0.09,Excelente
120,0.1,Excelente
113,0.09,Excelente
114,0.09,Excelente
112,0.09,Excelente
113,0.09,Excelente
107,0.09,Excelente
112,0.09,Excelente
106,0.09,Excelente
110,0.09,Excelente
115,0.09,Excelente
111,0.09,Excelente
103,0.08,Excelente
114,0.09,Excelente
107,0.09,Excelente
114,0.09,Excelente
113,0.09,Excelente
108,0.09,Excelente
123,0.1,Excelente
110,0.09,Excelente
113,0.09,Excelente
112,0.09,Excelente
109,0.09,Excelente
103,0.08,Excelente
102,0.08,Excelente
105,0.08,Excelente
106,0.09,Excelente
112,0.09,Excelente
92,0.07,Excelente
97,0.08,Excelente
112,0.09,Excelente
123,0.1,Excelente
112,0.09,Excelente
92,0.07,Excelente
100,0.08,Excelente
94,0.08,Excelente
103,0.08,Excelente
104,0.08,Excelente
112,0.09,Excelente
101,0.08,Excelente
106,0.09,Excelente
108,0.09,Excelente
89,0.07,Excelente
80,0.06,Excelente
64,0.05,Excelente
12,0.01,Excelente
21,0.02,Excelente
20,0.02,Excelente
27,0.02,Excelente
25,0.02,Excelente
80,0.06,Excelente
160,0.13,Excelente
167,0.13,Excelente
173,0.14,Excelente
159,0.13,Excelente
169,0.14,Excelente
158,0.13,Excelente
167,0.13,Excelente
159,0.13,Excelente
157,0.13,Excelente
159,0.13,Excelente
154,0.12,Excelente
153,0.12,Excelente
144,0.12,Excelente
149,0.12,Excelente
147,0.12,Excelente
144,0.12,Excelente
144,0.12,Excelente
138,0.11,Excelente
144,0.12,Excelente
136,0.11,Excelente
141,0.11,Excelente
135,0.11,Excelente
143,0.12,Excelente
141,0.11,Excelente
141,0.11,Excelente
141,0.11,Excelente
138,0.11,Excelente
132,0.11,Excelente
137,0.11,Excelente
134,0.11,Excelente
130,0.1,Excelente
135,0.11,Excelente
134,0.11,Excelente
134,0.11,Excelente
136,0.11,Excelente
128,0.1,Excelente
132,0.11,Excelente
134,0.11,Excelente
132,0.11,Excelente
130,0.1,Excelente
131,0.11,Excelente
133,0.11,Excelente
133,0.11,Excelente
137,0.11,Excelente
131,0.11,Excelente
131,0.11,Excelente
129,0.1,Excelente
128,0.1,Excelente
128,0.1,Excelente
137,0.11,Excelente
140,0.11,Excelente
129,0.1,Excelente
131,0.11,Excelente
126,0.1,Excelente
130,0.1,Excelente
131,0.11,Excelente
129,0.1,Excelente
125,0.1,Excelente
128,0.1,Excelente
128,0.1,Excelente
125,0.1,Excelente
131,0.11,Excelente
128,0.1,Excelente
129,0.1,Excelente
129,0.1,Excelente
127,0.1,Excelente
129,0.1,Excelente
128,0.1,Excelente
128,0.1,Excelente
128,0.1,Excelente
121,0.1,Excelente
128,0.1,Excelente
126,0.1,Excelente
128,0.1,Excelente
129,0.1,Excelente
121,0.1,Excelente
123,0.1,Excelente
122,0.1,Excelente
123,0.1,Excelente
127,0.1,Excelente
123,0.1,Excelente
123,0.1,Excelente
122,0.1,Excelente
124,0.1,Excelente
128,0.1,Excelente
126,0.1,Excelente
128,0.1,Excelente
126,0.1,Excelente
123,0.1,Excelente
119,0.1,Excelente
127,0.1,Excelente
123,0.1,Excelente
126,0.1,Excelente
125,0.1,Excelente
125,0.1,Excelente
128,0.1,Excelente
127,0.1,Excelente
116,0.09,Excelente
123,0.1,Excelente
121,0.1,Excelente
122,0.1,Excelente
125,0.1,Excelente
119,0.1,Excelente
119,0.1,Excelente
122,0.1,Excelente
124,0.1,Excelente
123,0.1,Excelente
119,0.1,Excelente
127,0.1,Excelente
122,0.1,Excelente
121,0.1,Excelente
127,0.1,Excelente
119,0.1,Excelente
123,0.1,Excelente
128,0.1,Excelente
123,0.1,Excelente
121,0.1,Excelente
127,0.1,Excelente
119,0.1,Excelente
125,0.1,Excelente
